"bisexual","age","new","rating","year"
1,32,1,3,2009
0,34,0,3,2009
1,40,0,3,2009
1,34,1,4,2009
0,37,0,4,2009
1,37,0,4,2009
1,40,1,4,2009
1,31,0,5,2009
1,34,1,5,2009
1,35,0,5,2009
1,40,0,5,2009
1,40,0,5,2009
1,40,0,5,2009
1,40,1,5,2009
1,42,0,5,2009
1,42,1,5,2009
1,48,1,5,2009
1,50,0,5,2009
1,20,1,6,2009
1,22,0,6,2009
1,23,0,6,2009
1,27,0,6,2009
1,28,0,6,2009
1,38,1,6,2009
1,47,0,6,2009
1,26,0,7,2009
1,38,1,7,2009
1,40,0,7,2009
1,49,1,6,2010
1,45,1,4,2010
1,45,1,4,2010
0,45,0,4,2010
1,44,1,6,2010
1,42,1,5,2010
1,40,0,6,2010
1,40,0,6,2010
0,40,0,5,2010
1,40,0,5,2010
1,39,1,6,2010
1,39,1,3,2010
1,38,0,5,2010
1,38,1,4,2010
1,37,1,5,2010
1,37,1,3,2010
0,35,0,7,2010
1,35,1,6,2010
1,35,0,5,2010
0,45,0,4,2010
1,39,1,3,2010
1,35,1,4,2010
1,31,1,4,2010
1,30,0,8,2010
1,28,0,6,2010
1,27,0,3,2010
1,26,0,7,2010
1,25,0,6,2010
1,39,1,6,2010
1,22,1,3,2010
1,21,0,7,2010
1,36,1,5,2010
1,27,0,8,2010
0,51,1,6,2010
1,21,1,6,2010
1,23,0,8,2011
1,25,0,9,2011
1,22,0,6,2011
0,20,0,5,2011
1,23,0,7,2011
1,40,0,4,2011
1,45,0,5,2011
1,37,1,8,2011
1,48,1,4,2011
1,35,0,6.5,2011
0,34,0,6.5,2011
0,40,0,4,2011
0,40,0,4,2011
0,34,0,6,2011
1,26,0,3,2011
1,42,0.5,6.5,2011
1,45,1,5,2011
1,22,0,7,2011
1,27,0,3,2011
1,35,0,5,2011
1,35,0,6,2011
1,43,1,4,2011
1,51,1,6.5,2011
1,33,0,3,2011
1,32,1,3,2011
1,28,0,7,2011
1,42,1,3,2011
1,40,1,4,2011
1,29,1,4,2011
1,32,1,6.5,2011
1,38,1,3,2011
1,35,0,6,2011
1,44,1,4,2011
1,29,0,6.5,2011
1,42,0,6,2011
1,39,1,4,2011
1,36,1,5,2011
1,50,1,5,2011
1,35,1,6,2011
1,24,0,3,2011
1,25,0,7.5,2013
1,21,0,7,2013
1,22,0,7,2013
1,23,0,6.5,2013
1,45,0,6.5,2013
1,37,1,6,2013
1,23,0,6,2013
1,29,0,6,2013
1,23,0,5.5,2013
1,33,0,5,2013
1,40,1,5,2013
1,42,1,5,2013
1,21,0,5,2013
0,40,0,5,2013
1,38,0,5,2013
1,44,1,5,2013
1,46,1,5,2013
0,35,0,5,2013
0,40,1,5,2013
0,37,1,4.5,2013
1,38,1,4,2013
1,43,1,4,2013
1,44,1,4,2013
1,45,1,4,2013
1,26,0,4,2013
1,40,0,4,2013
1,44,1,4,2013
1,42,0,4,2013
0,48,1,4,2013
1,51,1,4,2013
1,52,1,4,2013
1,29,0,4,2013
1,27,0,3,2013
1,37,1,2.5,2013
